dataset,row_id,column,dimension_quality,rule,observed_value,severity,action
solutions,160,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,161,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,162,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,163,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,164,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,165,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,166,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,167,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,168,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,169,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,170,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,171,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,172,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,173,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,174,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,175,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,176,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,177,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
solutions,178,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,179,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,180,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,181,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,182,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,183,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,184,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,185,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,186,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,187,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,188,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,189,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,190,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,191,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,192,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,193,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,194,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,195,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,196,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,197,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,198,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,199,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,200,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,201,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,202,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,203,year,VALIDITY,YEAR_OUT_OF_RANGE,1969.0,WARNING,Preserved for investigation
solutions,204,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,205,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,206,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,207,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,208,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,209,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,210,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,211,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,212,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,213,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,214,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,215,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,216,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,217,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,218,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,219,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,220,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,221,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,222,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,223,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,224,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,225,year,VALIDITY,YEAR_OUT_OF_RANGE,1970.0,WARNING,Preserved for investigation
solutions,226,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,227,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,228,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,229,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,230,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,231,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,232,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,233,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,234,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,235,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,236,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,237,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,238,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,239,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,240,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,241,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,242,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,243,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,244,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,245,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,246,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,247,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,248,year,VALIDITY,YEAR_OUT_OF_RANGE,1971.0,WARNING,Preserved for investigation
solutions,249,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,250,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,251,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,252,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,253,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,254,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,255,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,256,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,257,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,258,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,259,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
solutions,260,year,VALIDITY,YEAR_OUT_OF_RANGE,1972.0,WARNING,Preserved for investigation
